DATE,CUURA320SEHA_PC1
1979-01-01,4.00908
1979-04-01,6.66667
1979-07-01,5.86924
1979-10-01,8.46954
1980-01-01,11.85455
1980-04-01,12.35795
1980-07-01,14.38596
1980-10-01,15.20548
1981-01-01,16.84005
1981-04-01,16.05563
1981-07-01,11.65644
1981-10-01,11.77170
1982-01-01,7.34558
1982-04-01,7.08061
1982-07-01,5.93407
1982-10-01,5.21277
1983-01-01,4.25091
1983-04-01,1.62767
1983-07-01,5.44606
1983-10-01,2.42669
1984-01-01,0.89508
1984-04-01,1.80180
1984-07-01,0.14757
1984-10-01,0.49358
1985-01-01,0.73928
1985-04-01,1.76991
1985-07-01,3.04519
1985-10-01,3.43811
1986-01-01,3.37573
1986-04-01,2.31884
1986-07-01,1.52526
1986-10-01,1.13960
1987-01-01,1.24625
1987-04-01,1.13314
1987-07-01,1.53365
1987-10-01,2.03443
1988-01-01,2.64880
1988-04-01,3.33022
1988-07-01,3.42170
1988-10-01,3.83436
1989-01-01,2.48937
1989-04-01,4.81928
1989-07-01,2.59314
1989-10-01,2.09749
1990-01-01,1.77725
1990-04-01,0.17241
1990-07-01,4.27077
1990-10-01,3.26968
1991-01-01,3.98719
1991-04-01,4.47504
1991-07-01,1.22597
1991-10-01,4.25890
1992-01-01,4.61797
1992-04-01,2.66337
1992-07-01,3.16543
1992-10-01,1.23623
1993-01-01,2.19369
1993-04-01,3.02220
1993-07-01,5.84312
1993-10-01,5.12344
1994-01-01,5.73298
1994-04-01,6.95742
1994-07-01,3.95765
1994-10-01,5.27778
1995-01-01,3.71379
1995-04-01,2.13592
1995-07-01,2.95829
1995-10-01,2.78244
1996-01-01,3.19885
1996-04-01,3.61217
1996-07-01,3.03815
1996-10-01,2.87048
1997-01-01,2.49827
1997-04-01,1.97248
1997-07-01,2.24000
1997-10-01,1.79220
1998-01-01,1.80546
1998-04-01,1.86685
1998-07-01,1.56495
1998-10-01,1.76064
1999-01-01,1.39659
1999-04-01,1.21440
1999-07-01,1.05657
1999-10-01,0.78844
2000-01-01,1.15872
2000-04-01,1.39616
2000-07-01,1.98214
2000-10-01,2.32508
2001-01-01,2.55025
2001-04-01,2.92599
2001-07-01,3.46006
2001-10-01,4.03483
2002-01-01,4.46786
2002-04-01,4.78679
2002-07-01,4.91329
2002-10-01,5.10308
2003-01-01,4.55921
2003-04-01,3.84999
2003-07-01,3.20740
2003-10-01,3.28219
2004-01-01,4.22535
2004-04-01,5.82021
2004-07-01,6.44423
2004-10-01,6.54381
2005-01-01,6.81229
2005-04-01,6.22618
2005-07-01,6.25112
2005-10-01,5.87716
2006-01-01,5.70191
2006-04-01,6.23718
2006-07-01,7.50169
2006-10-01,8.60143
2007-01-01,9.49598
2007-04-01,9.04874
2007-07-01,7.59997
2007-10-01,7.11665
2008-01-01,5.64961
2008-04-01,5.79802
2008-07-01,5.06074
2008-10-01,3.52905
2009-01-01,2.31013
2009-04-01,-0.33405
2009-07-01,-1.57860
2009-10-01,-1.88597
2010-01-01,-1.85026
2010-04-01,-0.67999
2010-07-01,0.30641
2010-10-01,0.54580
2011-01-01,0.39309
2011-04-01,0.15704
2011-07-01,0.21639
2011-10-01,0.47605
2012-01-01,1.09100
2012-04-01,1.50171
2012-07-01,1.88146
2012-10-01,2.18676
2013-01-01,2.00311
2013-04-01,2.08021
2013-07-01,1.81644
2013-10-01,2.34303
2014-01-01,3.75725
2014-04-01,4.14907
2014-07-01,4.63261
2014-10-01,5.32970
2015-01-01,5.59427
2015-04-01,5.77766
2015-07-01,5.86501
2015-10-01,4.97521
2016-01-01,4.10720
2016-04-01,4.63359
2016-07-01,5.11776
2016-10-01,5.79291
2017-01-01,5.58926
2017-04-01,4.80646
2017-07-01,4.64143
2017-10-01,3.70621
2018-01-01,3.37802
2018-04-01,3.60071
2018-07-01,3.03280
2018-10-01,3.35308
2019-01-01,4.69093
2019-04-01,4.71064
2019-07-01,4.15544
2019-10-01,3.09627
2020-01-01,1.54958
