DATE,CUURA101SA0_PC1
1976-01-01,6.44970
1976-04-01,6.56891
1976-07-01,5.85870
1976-10-01,4.67079
1977-01-01,4.89161
1977-04-01,5.55861
1977-07-01,5.31742
1977-10-01,5.05376
1978-01-01,5.03445
1978-04-01,5.42231
1978-07-01,5.77022
1978-10-01,6.70420
1979-01-01,7.26539
1979-04-01,8.01187
1979-07-01,9.05991
1979-10-01,10.21583
1980-01-01,11.52399
1980-04-01,11.63004
1980-07-01,11.43368
1980-10-01,10.61793
1981-01-01,10.29102
1981-04-01,9.35193
1981-07-01,10.38076
1981-10-01,9.36271
1982-01-01,6.50096
1982-04-01,5.85146
1982-07-01,5.04720
1982-10-01,5.75540
1983-01-01,5.52962
1983-04-01,5.66974
1983-07-01,4.07881
1983-10-01,3.67347
1984-01-01,5.44403
1984-04-01,4.79544
1984-07-01,5.11458
1984-10-01,4.69160
1985-01-01,3.74314
1985-04-01,3.77600
1985-07-01,3.38073
1985-10-01,3.88593
1986-01-01,4.13686
1986-04-01,2.92939
1986-07-01,3.36186
1986-10-01,2.71493
1987-01-01,3.28554
1987-04-01,5.36249
1987-07-01,5.44057
1987-10-01,6.10866
1988-01-01,5.23424
1988-04-01,4.74837
1988-07-01,4.82333
1988-10-01,4.64988
1989-01-01,5.38610
1989-04-01,5.91748
1989-07-01,5.32370
1989-10-01,5.60698
1990-01-01,6.12777
1990-04-01,5.48437
1990-07-01,6.47701
1990-10-01,6.36113
1991-01-01,5.65111
1991-04-01,5.02915
1991-07-01,4.10305
1991-10-01,3.34354
1992-01-01,3.34884
1992-04-01,3.53921
1992-07-01,3.59762
1992-10-01,3.94167
1993-01-01,3.66787
1993-04-01,3.21716
1993-07-01,2.83123
1993-10-01,2.25778
1994-01-01,2.30085
1994-04-01,2.33766
1994-07-01,2.45214
1994-10-01,2.42229
1995-01-01,2.07935
1995-04-01,2.66497
1995-07-01,2.51942
1995-10-01,2.78359
1996-01-01,3.30493
1996-04-01,2.78121
1996-07-01,2.82613
1996-10-01,2.85074
1997-01-01,2.59557
1997-04-01,2.30507
1997-07-01,2.23063
1997-10-01,2.19758
1998-01-01,1.54932
1998-04-01,1.70455
1998-07-01,1.73388
1998-10-01,1.54979
1999-01-01,1.50637
1999-04-01,1.88788
1999-07-01,2.06817
1999-10-01,2.30828
2000-01-01,2.98706
2000-04-01,3.00624
2000-07-01,3.24578
2000-10-01,3.18851
2001-01-01,2.82653
2001-04-01,3.19383
2001-07-01,2.47138
2001-10-01,1.71666
2002-01-01,2.31764
2002-04-01,2.22341
2002-07-01,2.57138
2002-10-01,3.07337
2003-01-01,3.24846
2003-04-01,2.73186
2003-07-01,3.11203
2003-10-01,3.18856
2004-01-01,2.78912
2004-04-01,4.06504
2004-07-01,3.47082
2004-10-01,3.77485
2005-01-01,4.13633
2005-04-01,3.28776
2005-07-01,4.09982
2005-10-01,3.99163
2006-01-01,3.35240
2006-04-01,4.69587
2006-07-01,4.31196
2006-10-01,2.75499
2007-01-01,2.90300
2007-04-01,2.52619
2007-07-01,2.26265
2007-10-01,3.54737
2008-01-01,3.67905
2008-04-01,4.01786
2008-07-01,5.20239
2008-10-01,2.68557
2009-01-01,1.31424
2009-04-01,0.02484
2009-07-01,-0.89636
2009-10-01,1.37000
2010-01-01,2.10501
2010-04-01,1.93191
2010-07-01,1.36483
2010-10-01,1.42974
2011-01-01,1.97163
2011-04-01,2.85789
2011-07-01,3.53217
2011-10-01,3.01179
2012-01-01,2.65077
2012-04-01,1.92984
2012-07-01,1.36853
2012-10-01,1.93159
2013-01-01,2.14719
2013-04-01,1.55016
2013-07-01,1.76924
2013-10-01,1.26135
2014-01-01,1.42725
2014-04-01,1.74375
2014-07-01,1.31327
2014-10-01,0.80754
2015-01-01,-0.16992
2015-04-01,-0.00294
2015-07-01,0.10030
2015-10-01,0.57882
2016-01-01,0.70272
2016-04-01,0.92916
2016-07-01,1.02635
2016-10-01,1.64825
2017-01-01,2.48312
2017-04-01,1.89780
2017-07-01,1.80231
2017-10-01,1.65434
2018-01-01,1.62312
2018-04-01,2.02834
2018-07-01,2.13221
2018-10-01,1.84225
2019-01-01,1.51574
2019-04-01,1.60634
2019-07-01,1.65225
2019-10-01,1.83674
2020-01-01,2.30020
2020-04-01,1.28693
